market,period,window,horizon,tail_prob,spec_name,dependent,spec,n_obs,r2,adj_r2,aic,bic,param,coef,std_err_hac,t_hac,pvalue_hac
shares,baseline_2018,504,21,0.025,dq_dr,future_tail_event,dq_es+dr_es_concentration,76,0.1441123286939297,0.1206633513978729,101.048110084455,108.040310105314,dq_es,1.0792066847590265,0.2772602394210577,3.892396136613383,9.925899793882345e-05
shares,baseline_2018,504,21,0.025,dq_dr,future_tail_event,dq_es+dr_es_concentration,76,0.1441123286939297,0.1206633513978729,101.048110084455,108.040310105314,dr_es_concentration,-2.3921034475777048,0.4213966310677913,-5.676607906229037,1.3739190035855372e-08
shares,baseline_2018,504,21,0.025,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,76,0.1451167223149797,0.1094965857447705,102.9588708744775,112.2818042356228,dq_es,0.9243535388775664,0.6562866400194579,1.408460088186712,0.1589948772773793
shares,baseline_2018,504,21,0.025,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,76,0.1451167223149797,0.1094965857447705,102.9588708744775,112.2818042356228,dr_es_concentration,-2.756847724404297,1.1355049287181698,-2.427860641271194,0.015188178059081
shares,baseline_2018,504,21,0.025,dq_only,future_tail_event,dq_es,76,0.0370569292330881,0.0240441850335352,108.00510156685172,112.66656824742438,dq_es,0.5014759505315229,0.2985355609306733,1.6797863174765195,0.0929988982320601
shares,baseline_2018,504,21,0.025,dr_only,future_tail_event,dr_es_concentration,76,0.0265149504516132,0.0133597470793376,108.83260277303629,113.49406945360892,dr_es_concentration,-0.9854410918646412,0.6535063539351722,-1.5079288608759216,0.1315727351381365
shares,baseline_2018,504,21,0.025,full,future_tail_event,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,76,0.2373809060541858,0.1333873932433928,106.27919532551462,129.5865287283779,dq_es,1.133336691008453,2.392729465170029,0.4736585173986301,0.6357434392104726
shares,baseline_2018,504,21,0.025,full,future_tail_event,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,76,0.2373809060541858,0.1333873932433928,106.27919532551462,129.5865287283779,dr_es_concentration,-4.3117557940554585,1.063982962281429,-4.052466953803511,5.068038437315498e-05
shares,baseline_2018,504,21,0.05,dq_dr,future_tail_event,dq_es+dr_es_concentration,76,0.0974323705147877,0.0727044902549187,105.90568024126677,112.89788026212577,dq_es,0.6415521309035541,0.3697905325069682,1.7349068580912488,0.0827573042334781
shares,baseline_2018,504,21,0.05,dq_dr,future_tail_event,dq_es+dr_es_concentration,76,0.0974323705147877,0.0727044902549187,105.90568024126677,112.89788026212577,dr_es_concentration,-1.563736563326671,0.4582788926252773,-3.412194164930257,0.0006444219402933
shares,baseline_2018,504,21,0.05,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,76,0.1035804294798171,0.066229614041476,107.38621651142236,116.70914987256768,dq_es,0.9702132049416744,0.5591734217651959,1.7350846216526352,0.0827258177643579
shares,baseline_2018,504,21,0.05,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,76,0.1035804294798171,0.066229614041476,107.38621651142236,116.70914987256768,dr_es_concentration,-0.4601588022950917,1.357286038204098,-0.3390286124978888,0.7345881756136913
shares,baseline_2018,504,21,0.05,dq_only,future_tail_event,dq_es,76,0.0170675485281601,0.0037846775623243,110.3882353659694,115.04970204654208,dq_es,0.4351940245751473,0.4340934179838694,1.002535414142858,0.3160850713334693
shares,baseline_2018,504,21,0.05,dr_only,future_tail_event,dr_es_concentration,76,0.0620317297633609,0.0493564828682711,106.82959011032368,111.49105679089634,dr_es_concentration,-1.3421730165024697,0.4240486310063202,-3.1651393693155567,0.0015500868364165
shares,baseline_2018,504,21,0.05,full,future_tail_event,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,76,0.1608969968144887,0.0464738600164644,114.36450844667368,137.67184184953695,dq_es,2.7148965203493662,1.6662887655452232,1.629307342452753,0.1032479725789974
shares,baseline_2018,504,21,0.05,full,future_tail_event,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,76,0.1608969968144887,0.0464738600164644,114.36450844667368,137.67184184953695,dr_es_concentration,-2.0384388150970407,1.7765492893571488,-1.1474147254505151,0.2512102581095523
shares,baseline_2018,504,63,0.025,dq_dr,future_tail_event,dq_es+dr_es_concentration,74,0.2028176263320668,0.180361784820294,79.09656352083479,86.00875880044731,dq_es,1.2938928239564755,0.4716794125743446,2.7431615403662257,0.0060850742270763
shares,baseline_2018,504,63,0.025,dq_dr,future_tail_event,dq_es+dr_es_concentration,74,0.2028176263320668,0.180361784820294,79.09656352083479,86.00875880044731,dr_es_concentration,-1.930043874328626,0.7895534372001158,-2.4444752988130527,0.0145063014018013
shares,baseline_2018,504,63,0.025,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,74,0.2234098647179216,0.1901274303486897,79.15992705735027,88.37618743016695,dq_es,0.6697454862119621,0.8815581611718276,0.7597292109708228,0.4474164642672271
shares,baseline_2018,504,63,0.025,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,74,0.2234098647179216,0.1901274303486897,79.15992705735027,88.37618743016695,dr_es_concentration,-3.422271898540332,1.6165159382765228,-2.117066598297229,0.034254196001364
shares,baseline_2018,504,63,0.025,dq_only,future_tail_event,dq_es,74,0.1175442766036769,0.1052879471120613,84.6168237303832,89.22495391679155,dq_es,0.8125221435077569,0.347467186023575,2.33841403214584,0.0193657805129341
shares,baseline_2018,504,63,0.025,dr_only,future_tail_event,dr_es_concentration,74,0.0019320848519606,-0.0119299695250953,93.72716423239804,98.3352944188064,dr_es_concentration,-0.2384976560969482,0.6118258418404136,-0.3898129823668956,0.6966748431633668
shares,baseline_2018,504,63,0.025,full,future_tail_event,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.3478246571355043,0.2561124995451846,78.23958194847947,101.28023288052115,dq_es,-0.0716847872264576,1.7846057068203511,-0.0401684175683709,0.9679588564289032
shares,baseline_2018,504,63,0.025,full,future_tail_event,dq_es+dr_es_concentration+current_es+current_rv_ann+current_hill_alpha+n_assets+regime_covid+regime_2022_2023+regime_post_2024+near_2022_trade_break,74,0.3478246571355043,0.2561124995451846,78.23958194847947,101.28023288052115,dr_es_concentration,-5.136390188497911,1.915891813699493,-2.6809395769481337,0.0073415770810851
shares,baseline_2018,504,63,0.05,dq_dr,future_tail_event,dq_es+dr_es_concentration,74,0.1259347775112849,0.1013132219482225,1.4631351983979073,8.375330478010419,dq_es,0.5317908006444481,0.3814210314389225,1.394235652497323,0.163246455049151
shares,baseline_2018,504,63,0.05,dq_dr,future_tail_event,dq_es+dr_es_concentration,74,0.1259347775112849,0.1013132219482225,1.4631351983979073,8.375330478010419,dr_es_concentration,-0.733726141005677,0.3952626072405184,-1.856300412852366,0.0634107502890973
shares,baseline_2018,504,63,0.05,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,74,0.1261433341700026,0.0886923342058598,3.445476293933723,12.661736666750404,dq_es,0.5013579710396322,0.3418668978043174,1.4665297349923787,0.1425040265747471
shares,baseline_2018,504,63,0.05,dq_dr_current_es,future_tail_event,dq_es+dr_es_concentration+current_es,74,0.1261433341700026,0.0886923342058598,3.445476293933723,12.661736666750404,dr_es_concentration,-0.8362493694692945,0.6057998323355261,-1.3804054158373098,0.1674618535982577
shares,baseline_2018,504,63,0.05,dq_only,future_tail_event,dq_es,74,0.0579051979701255,0.0448205479419328,5.009502572865813,9.617632759274152,dq_es,0.4173795698235473,0.361116666880347,1.1558025649418238,0.2477619236638726
