window,n_securities,alpha_median,alpha_p10,alpha_p25,alpha_p75,point_alpha_lt1,point_alpha_1_2,point_alpha_gt2,strict_alpha_lt1,strict_alpha_1_2,strict_alpha_gt2,point_alpha_1_2_uncertain,point_alpha_gt_2_uncertain,point_alpha_lt_1_uncertain,mean_p_alpha_lt1,mean_p_alpha_gt2
504,142,4.80043482873106,2.670333799387313,3.2280815341764546,8.38702894288486,0,3,139,0,0,125,2,15,0,0.0031360987948547553,0.9664949396441176
756,142,3.7108219321855787,2.544883759317508,3.108155966835403,5.427492453550529,0,5,137,0,0,120,4,18,0,0.0035305836318927425,0.9530740777393826
1008,142,3.5431299698631835,2.2867618097988207,2.8103591912866235,4.666867150040286,0,8,134,0,0,109,8,25,0,0.0015423126472850874,0.9308181889078455
