period,window,horizon,tail_prob,var1,var2,corr,n_obs
baseline_2018,1008,21,0.05,dr_es_concentration,alpha_heaviness_inv,-0.041528171210420024,52
baseline_2018,1008,21,0.05,dq_es,dr_es_concentration,0.4351403598669861,52
baseline_2018,1008,21,0.05,dq_es,future_tail_event,-0.0039588589926977955,52
baseline_2018,1008,21,0.05,dr_es_concentration,future_tail_event,-0.34454264430004916,52
baseline_2018,1008,21,0.05,alpha_heaviness_inv,future_tail_event,0.09495401911172151,52
baseline_2018,1008,21,0.05,p_alpha_gt_2_mean,future_tail_event,-0.07420608720090995,52
baseline_2018,1008,63,0.025,dq_es,alpha_heaviness_inv,0.5972768107036784,50
baseline_2018,1008,63,0.025,dq_es,alpha_median,-0.6249207116712847,50
baseline_2018,1008,63,0.025,dr_es_concentration,alpha_heaviness_inv,0.17873113859128353,50
baseline_2018,1008,63,0.025,dq_es,dr_es_concentration,0.7582211277235275,50
baseline_2018,1008,63,0.025,dq_es,future_tail_event,-0.028223658850320254,50
baseline_2018,1008,63,0.025,dr_es_concentration,future_tail_event,-0.35445995462284663,50
baseline_2018,1008,63,0.025,alpha_heaviness_inv,future_tail_event,0.36306116095760316,50
baseline_2018,1008,63,0.025,p_alpha_gt_2_mean,future_tail_event,-0.30611500410435377,50
baseline_2018,1008,63,0.05,dq_es,alpha_heaviness_inv,0.5846215547211344,50
baseline_2018,1008,63,0.05,dq_es,alpha_median,-0.6221716036461067,50
baseline_2018,1008,63,0.05,dr_es_concentration,alpha_heaviness_inv,-0.051879092997708154,50
baseline_2018,1008,63,0.05,dq_es,dr_es_concentration,0.6237983255605742,50
baseline_2018,1008,63,0.05,dq_es,future_tail_event,-8.576963541254021e-05,50
baseline_2018,1008,63,0.05,dr_es_concentration,future_tail_event,-0.2333010641757682,50
baseline_2018,1008,63,0.05,alpha_heaviness_inv,future_tail_event,0.1878506867661339,50
baseline_2018,1008,63,0.05,p_alpha_gt_2_mean,future_tail_event,-0.12283218035878395,50
full_2015,504,21,0.025,dq_es,alpha_heaviness_inv,0.9589764725657726,112
full_2015,504,21,0.025,dq_es,alpha_median,-0.8639479407582116,112
full_2015,504,21,0.025,dr_es_concentration,alpha_heaviness_inv,0.56991505550825,112
full_2015,504,21,0.025,dq_es,dr_es_concentration,0.6323728867051213,112
full_2015,504,21,0.025,dq_es,future_tail_event,0.1843256872498835,112
full_2015,504,21,0.025,dr_es_concentration,future_tail_event,0.042673694193861404,112
full_2015,504,21,0.025,alpha_heaviness_inv,future_tail_event,0.24547425375974366,112
full_2015,504,21,0.025,p_alpha_gt_2_mean,future_tail_event,-0.2182175257660501,112
full_2015,504,21,0.05,dq_es,alpha_heaviness_inv,0.9345489201697584,112
full_2015,504,21,0.05,dq_es,alpha_median,-0.8799061122256779,112
full_2015,504,21,0.05,dr_es_concentration,alpha_heaviness_inv,0.43569024210660073,112
full_2015,504,21,0.05,dq_es,dr_es_concentration,0.6807661945024182,112
full_2015,504,21,0.05,dq_es,future_tail_event,0.2209283672316807,112
full_2015,504,21,0.05,dr_es_concentration,future_tail_event,-0.016611326995246232,112
full_2015,504,21,0.05,alpha_heaviness_inv,future_tail_event,0.27159950418095674,112
full_2015,504,21,0.05,p_alpha_gt_2_mean,future_tail_event,-0.20896858160936385,112
full_2015,504,63,0.025,dq_es,alpha_heaviness_inv,0.9623875929538555,110
full_2015,504,63,0.025,dq_es,alpha_median,-0.8788301376663477,110
full_2015,504,63,0.025,dr_es_concentration,alpha_heaviness_inv,0.5987666283454103,110
full_2015,504,63,0.025,dq_es,dr_es_concentration,0.646056090784644,110
full_2015,504,63,0.025,dq_es,future_tail_event,0.1763116451021705,110
full_2015,504,63,0.025,dr_es_concentration,future_tail_event,-0.022784319241870986,110
full_2015,504,63,0.025,alpha_heaviness_inv,future_tail_event,0.24563940359827854,110
full_2015,504,63,0.025,p_alpha_gt_2_mean,future_tail_event,-0.24266059621273547,110
full_2015,504,63,0.05,dq_es,alpha_heaviness_inv,0.9353002304336172,110
full_2015,504,63,0.05,dq_es,alpha_median,-0.8906438160248362,110
full_2015,504,63,0.05,dr_es_concentration,alpha_heaviness_inv,0.47010322249131054,110
full_2015,504,63,0.05,dq_es,dr_es_concentration,0.7055424461122661,110
full_2015,504,63,0.05,dq_es,future_tail_event,0.19512585067160357,110
full_2015,504,63,0.05,dr_es_concentration,future_tail_event,-0.11429489333262814,110
full_2015,504,63,0.05,alpha_heaviness_inv,future_tail_event,0.2604254929529951,110
