window,n_estimates,n_securities,alpha_mean,alpha_median,alpha_p10,alpha_p25,alpha_p75,alpha_p90,point_alpha_lt1,point_alpha_1_2,point_alpha_gt2,strict_alpha_lt1,strict_alpha_1_2,strict_alpha_gt2,mean_p_alpha_lt1,mean_p_alpha_gt2
504,16163,142,5.218567884400191,2.9924007279904745,1.8163958104079339,2.210989791391639,4.533039733165788,8.372604898244045,9,2733,13421,0,0,9023,0.0018190433012542624,0.8344309220888605
756,14459,142,4.042402074693382,2.7004403397806653,1.8650666939710312,2.145504173894458,3.8193688318243058,5.900994812108389,0,2476,11983,0,4,7046,0.0008913856981759036,0.8210783951681271
1008,12755,142,3.2750961427357352,2.5275642453971243,1.9153696942089087,2.1445769411286424,3.252767138579972,4.8046594189055964,0,1986,10769,0,0,5174,0.00043475075907541366,0.8103130707727062
