diagnostic_bucket,market,secid,window,window_end,tail_group,alpha_consensus,alpha_ci_low,alpha_ci_high,ci_width,alpha_core_mad,selected_k,n_tail_positive,theta_runs,zero_share_window,max_loss_window
stable_low_uncertainty,bonds,SU46023RMFS6,504,2026-05-15,point_alpha_1_2_uncertain,1.1269069731400458,0.7748140876464904,6.30721665918946,5.53240257154297,0.021829604985340145,25,199,0.68,0.003968253968253968,0.652002442785799
stable_low_uncertainty,bonds,SU46012RMFS9,504,2026-05-15,point_alpha_gt_2_uncertain,2.6806181423569457,1.6783823327255791,8.429395361585545,6.7510130288599655,0.18773662405067215,19,235,0.3684210526315789,0.0,0.244721245906493
stable_low_uncertainty,bonds,SU29007RMFS0,504,2026-05-15,point_alpha_gt_2_uncertain,2.621958050594236,1.9508316676013706,8.869762393424654,6.918930725823284,0.10806102199902856,10,131,0.5,0.001984126984126984,0.0111373745823403
stable_low_uncertainty,bonds,SU29010RMFS4,504,2026-05-15,point_alpha_gt_2_uncertain,2.9725806624471103,1.9413744344653199,14.584708242927439,12.643333808462119,0.24353292819449468,14,136,0.7857142857142857,0.001984126984126984,0.0175095869891867
stable_low_uncertainty,bonds,SU26212RMFS9,504,2026-05-15,strict_alpha_gt_2,4.464485901950215,3.0180779835033915,17.251530104496005,14.233452120992613,0.2700555491313672,21,213,0.7619047619047619,0.001984126984126984,0.0135053902995936
stable_low_uncertainty,bonds,SU52002RMFS1,504,2026-05-15,strict_alpha_gt_2,11.161626091067955,2.1369407214231075,16.557262292407234,14.420321570984127,0.6609124363694328,18,209,0.6111111111111112,0.0,0.028818034589744
stable_low_uncertainty,bonds,SU29009RMFS6,504,2026-05-15,strict_alpha_gt_2,2.7653284148059827,2.716239393886633,22.028842105875224,19.312602711988593,0.0,15,159,0.8666666666666667,0.0,0.00724905486045755
stable_low_uncertainty,bonds,SU26218RMFS6,504,2026-05-15,strict_alpha_gt_2,5.636908188650689,2.7486749902995253,24.024366261054475,21.275691270754947,1.9050326910991686,16,236,0.875,0.0,0.0202910850969223
stable_low_uncertainty,bonds,SU26225RMFS1,504,2026-05-15,strict_alpha_gt_2,4.657094229257786,2.688426000925298,26.049571829855093,23.361145828929796,2.00064371100401,35,244,0.6,0.001984126984126984,0.0279712436608938
stable_low_uncertainty,bonds,SU26207RMFS9,504,2026-05-15,strict_alpha_gt_2,6.4184234685504595,2.342700997098997,26.15420101289107,23.81150001579207,4.077860085233565,28,196,0.6071428571428571,0.001984126984126984,0.00961499058168429
near_cutoff,bonds,SU46023RMFS6,504,2026-05-15,point_alpha_1_2_uncertain,1.1269069731400458,0.7748140876464904,6.30721665918946,5.53240257154297,0.021829604985340145,25,199,0.68,0.003968253968253968,0.652002442785799
near_cutoff,bonds,SU29007RMFS0,504,2026-05-15,point_alpha_gt_2_uncertain,2.621958050594236,1.9508316676013706,8.869762393424654,6.918930725823284,0.10806102199902856,10,131,0.5,0.001984126984126984,0.0111373745823403
near_cutoff,bonds,SU46012RMFS9,504,2026-05-15,point_alpha_gt_2_uncertain,2.6806181423569457,1.6783823327255791,8.429395361585545,6.7510130288599655,0.18773662405067215,19,235,0.3684210526315789,0.0,0.244721245906493
near_cutoff,bonds,SU29009RMFS6,504,2026-05-15,strict_alpha_gt_2,2.7653284148059827,2.716239393886633,22.028842105875224,19.312602711988593,0.0,15,159,0.8666666666666667,0.0,0.00724905486045755
near_cutoff,bonds,SU26219RMFS4,504,2026-05-15,strict_alpha_gt_2,2.899673121893653,3.353141639562782,51.6957985850517,48.34265694548891,0.0,16,168,0.6875,0.001984126984126984,0.00880988841589952
near_cutoff,bonds,SU29010RMFS4,504,2026-05-15,point_alpha_gt_2_uncertain,2.9725806624471103,1.9413744344653199,14.584708242927439,12.643333808462119,0.24353292819449468,14,136,0.7857142857142857,0.001984126984126984,0.0175095869891867
near_cutoff,bonds,SU26212RMFS9,504,2026-05-15,strict_alpha_gt_2,4.464485901950215,3.0180779835033915,17.251530104496005,14.233452120992613,0.2700555491313672,21,213,0.7619047619047619,0.001984126984126984,0.0135053902995936
near_cutoff,bonds,SU26225RMFS1,504,2026-05-15,strict_alpha_gt_2,4.657094229257786,2.688426000925298,26.049571829855093,23.361145828929796,2.00064371100401,35,244,0.6,0.001984126984126984,0.0279712436608938
near_cutoff,bonds,SU26218RMFS6,504,2026-05-15,strict_alpha_gt_2,5.636908188650689,2.7486749902995253,24.024366261054475,21.275691270754947,1.9050326910991686,16,236,0.875,0.0,0.0202910850969223
near_cutoff,bonds,SU26207RMFS9,504,2026-05-15,strict_alpha_gt_2,6.4184234685504595,2.342700997098997,26.15420101289107,23.81150001579207,4.077860085233565,28,196,0.6071428571428571,0.001984126984126984,0.00961499058168429
unstable_high_uncertainty,bonds,SU26224RMFS4,504,2026-05-15,strict_alpha_gt_2,19.844304161916664,3.0677861622112808,52.03206338608868,48.9642772238774,16.612909558284606,21,216,0.7142857142857143,0.003968253968253968,0.020181034207617
unstable_high_uncertainty,bonds,SU26219RMFS4,504,2026-05-15,strict_alpha_gt_2,2.899673121893653,3.353141639562782,51.6957985850517,48.34265694548891,0.0,16,168,0.6875,0.001984126984126984,0.00880988841589952
unstable_high_uncertainty,bonds,SU46020RMFS2,504,2026-05-15,strict_alpha_gt_2,33.838528287311604,5.177125161411556,51.63216959262414,46.455044431212585,30.42474271939784,33,229,0.696969696969697,0.0,0.0319879572152419
unstable_high_uncertainty,bonds,SU29008RMFS8,504,2026-05-15,strict_alpha_gt_2,31.49761231418728,2.8830213787280017,36.07298975326152,33.189968374533514,28.729667406846453,13,147,0.6923076923076923,0.001984126984126984,0.00789843523857223
unstable_high_uncertainty,bonds,SU26221RMFS0,504,2026-05-15,strict_alpha_gt_2,7.032385535294667,2.8084986500902325,32.623934911753054,29.81543626166282,2.7989735033150827,14,233,0.8571428571428571,0.0,0.0215017217475271
unstable_high_uncertainty,bonds,SU26207RMFS9,504,2026-05-15,strict_alpha_gt_2,6.4184234685504595,2.342700997098997,26.15420101289107,23.81150001579207,4.077860085233565,28,196,0.6071428571428571,0.001984126984126984,0.00961499058168429
unstable_high_uncertainty,bonds,SU26225RMFS1,504,2026-05-15,strict_alpha_gt_2,4.657094229257786,2.688426000925298,26.049571829855093,23.361145828929796,2.00064371100401,35,244,0.6,0.001984126984126984,0.0279712436608938
unstable_high_uncertainty,bonds,SU26218RMFS6,504,2026-05-15,strict_alpha_gt_2,5.636908188650689,2.7486749902995253,24.024366261054475,21.275691270754947,1.9050326910991686,16,236,0.875,0.0,0.0202910850969223
unstable_high_uncertainty,bonds,SU29009RMFS6,504,2026-05-15,strict_alpha_gt_2,2.7653284148059827,2.716239393886633,22.028842105875224,19.312602711988593,0.0,15,159,0.8666666666666667,0.0,0.00724905486045755
unstable_high_uncertainty,bonds,SU52002RMFS1,504,2026-05-15,strict_alpha_gt_2,11.161626091067955,2.1369407214231075,16.557262292407234,14.420321570984127,0.6609124363694328,18,209,0.6111111111111112,0.0,0.028818034589744
