market,secid,window,window_start,window_end,n_obs_window,n_tail_positive,tail_side,filter_method,selected_k,selected_k_frac,alpha_consensus,alpha_core_mad,n_core_estimators,theta_runs,theta_clusters,theta_exceedances,mean_return_window,std_return_window,zero_share_window,max_loss_window,alpha_hill,alpha_mom,alpha_gpd,gpd_shape,gpd_scale,gpd_ks,alpha_pickands,alpha_trimmed_hill,alpha_rank_half,boot_n,alpha_ci_low,alpha_ci_high,alpha_boot_mean,alpha_boot_std,p_alpha_lt_1,p_alpha_gt_2,adaptive_score,adaptive_grid_k_min,adaptive_grid_k_max,adaptive_grid_n,adaptive_alpha_grid_median,adaptive_alpha_grid_iqr,tail_group
bonds,SU26212RMFS9,504,2018-01-03,2019-12-26,504,210,lower,raw,24,0.11428571428571428,1.8641493869286079,0.0,1,0.5416666666666666,13,24,0.00044073545466895905,0.0036116472777648623,0.003968253968253968,0.0188906675573928,1.8641493869286079,,inf,-0.20033271621953844,0.00487618401204943,0.14371255444376613,1.8420802107560932,1.9966807655906793,2.5213934454476505,63,2.8260318608758017,36.441879084433054,8.330464154060515,10.639026411321188,0.0,1.0,inf,10,31,22,3.8646533829513396,2.2117328723179255,strict_alpha_gt_2
bonds,SU26212RMFS9,504,2018-02-02,2020-01-30,504,208,lower,raw,24,0.11538461538461539,1.8641493869286079,0.0,1,0.5416666666666666,13,24,0.0004058192195132769,0.0035848035884570245,0.003968253968253968,0.0188906675573928,1.8641493869286079,,inf,-0.20033271621953844,0.00487618401204943,0.14371255444376613,2.9185830841087945,1.9966807655906793,2.5213934454476505,62,2.448904741177941,14.672421832019529,5.828546188316029,7.103447234818805,0.0,0.967741935483871,inf,10,31,22,3.8646533829513396,2.2117328723179255,strict_alpha_gt_2
bonds,SU26212RMFS9,504,2018-03-06,2020-03-02,504,207,lower,raw,21,0.10144927536231885,4.256398416507259,1.6729180513192403,2,0.6190476190476191,13,21,0.000367413507225535,0.003666702226455603,0.003968253968253968,0.0188906675573928,2.5834803651880187,5.929316467826499,inf,-0.11100402134945474,0.0039347480804619046,0.19648140875026,4.74503651004937,2.840272198021174,2.71147538379991,45,2.509644160059864,24.91648013451032,7.900663604091984,9.805539313896434,0.0,1.0,0.919854157364599,10,31,22,2.282968344651716,2.2241951866086076,strict_alpha_gt_2
bonds,SU26212RMFS9,504,2018-04-05,2020-04-01,504,209,lower,raw,28,0.1339712918660287,2.477126080865656,0.6534676208962944,3,0.4642857142857143,13,28,0.0003101306430455917,0.005080816747221976,0.003968253968253968,0.0417184313576481,1.7410389864656124,2.477126080865656,3.1305937017619505,0.3194282284019109,0.004680134040659875,0.13997616275206975,1.4285379226448884,1.9009954593675669,1.8591533256465758,78,1.8539057674074202,13.11114678259135,4.6887935737414255,3.833161673590359,0.0,0.8846153846153846,0.4968155508236969,10,31,22,4.212966982063982,2.9552876711224925,point_alpha_gt_2_uncertain
bonds,SU26212RMFS9,504,2018-05-04,2020-04-30,504,206,lower,raw,26,0.1262135922330097,2.338453343142028,0.15745929051417473,3,0.46153846153846156,12,26,0.0004442149451730197,0.005093355474724009,0.003968253968253968,0.0417184313576481,1.8183389540380603,2.338453343142028,2.4959126336562028,0.4006550495860602,0.004052970929044733,0.1074475733127608,1.8513000691121697,2.012963771292355,1.8823106397855942,79,2.027512057423962,12.121622054113564,4.745216862706505,6.647368205930119,0.0,0.9620253164556962,0.22203095854530355,10,30,21,3.329794245506625,1.314554791619948,strict_alpha_gt_2
bonds,SU26212RMFS9,504,2018-06-05,2020-06-02,504,206,lower,raw,26,0.1262135922330097,2.338453343142028,0.15745929051417473,3,0.46153846153846156,12,26,0.0005095552487891239,0.005138596217874452,0.003968253968253968,0.0417184313576481,1.8183389540380603,2.338453343142028,2.4959126336562028,0.4006550495860602,0.004052970929044733,0.1074475733127608,1.7243190958411228,2.012963771292355,1.8823106397855942,76,1.7945220976945437,11.09625234006803,5.34998803476585,7.877412303957208,0.0,0.868421052631579,0.22203095854530355,10,30,21,3.329794245506625,1.314554791619948,point_alpha_gt_2_uncertain
bonds,SU26212RMFS9,504,2018-07-04,2020-07-06,504,208,lower,raw,27,0.12980769230769232,2.31655376474156,0.1277983535434255,3,0.4074074074074074,11,27,0.0005100790866275839,0.0051284841273382216,0.003968253968253968,0.0417184313576481,1.8251268468363175,2.31655376474156,2.4443521182849857,0.4091063609532751,0.003898668275818293,0.10677971240849216,1.9324657733854333,2.0171561003777603,1.887371638878399,86,1.9671889340097395,24.185693139065464,6.577799732387967,9.83442640670712,0.0,0.9302325581395349,0.17635712647149326,10,31,22,2.994681148684222,1.275484684512568,point_alpha_gt_2_uncertain
bonds,SU26212RMFS9,504,2018-08-02,2020-08-04,504,209,lower,raw,25,0.11961722488038277,2.3913640426047715,0.28890085363560214,3,0.4,10,25,0.000526786015945799,0.005125073641832888,0.003968253968253968,0.0417184313576481,1.7855081074074242,2.3913640426047715,2.6802648962403737,0.37309745070448336,0.004276079432875406,0.11922427816834204,4.208457759931451,1.9798140430420086,1.8732587214961056,82,1.7997034564660659,9.88940812954331,4.654211405278019,6.688987432116914,0.0,0.8902439024390244,0.28084579382540387,10,31,22,2.9239858477244294,1.4925427064789352,point_alpha_gt_2_uncertain
bonds,SU26212RMFS9,504,2018-08-31,2020-09-02,504,207,lower,raw,23,0.1111111111111111,2.1626010513237195,0.04626291923109482,3,0.4782608695652174,11,23,0.0006102749527422013,0.0050524144008920755,0.003968253968253968,0.0417184313576481,1.7201066496186301,2.1626010513237195,2.2088639705548143,0.4527214049078919,0.00408950577034247,0.14129609504568486,2.1056197855594845,1.9188980818724257,1.7568208817961875,86,1.645471714320884,9.53532677983274,3.6296609244618434,3.6029148618772995,0.0,0.7674418604651163,0.14508796608875088,10,31,22,2.4529202161332817,1.1461903339641948,point_alpha_gt_2_uncertain
bonds,SU26212RMFS9,504,2018-10-01,2020-10-01,504,202,lower,raw,23,0.11386138613861387,2.2666325167735004,0.4381462325825858,3,0.4782608695652174,11,23,0.0005829545471316605,0.004939132797648815,0.003968253968253968,0.0417184313576481,1.579209284938881,2.2666325167735004,2.704778749356086,0.3697160073584818,0.004615233697309278,0.12068255426416613,3.959385102687858,1.7504250937787225,1.7070651729520545,84,1.6295844004346816,6.124501052491714,2.980986210642585,1.979809509849289,0.0,0.6309523809523809,0.3370818976580633,10,30,21,2.253616548382591,1.0005390382663397,point_alpha_gt_2_uncertain
