market,secid,n_obs,expected_market_days,coverage,zero_share,first_date,last_date,mean_return,std_return,max_abs_return,core_liquid,broad
bonds,BYM000001818,334,2119,0.15762151958470977,0.0,2025-01-22,2026-05-15,0.0026485486553150753,0.10495744297552341,1.35209158754103,False,False
bonds,BYM000001925,299,2119,0.1411042944785276,0.0,2025-03-12,2026-05-15,0.0024957829382353737,0.10053029652309077,1.25423118675965,False,False
bonds,BYM000001941,299,2119,0.1411042944785276,0.0,2025-03-12,2026-05-15,0.002527956061540613,0.0992197062375801,1.24632975084996,False,False
bonds,BYM000002154,191,2119,0.09013685700802265,0.0,2025-08-14,2026-05-15,0.003104335170811637,0.09901079732944562,1.34723887170917,False,False
bonds,BYM000002410,138,2119,0.06512505899008966,0.0,2025-10-28,2026-05-15,0.0007422517010682197,0.10340412454976518,1.19303475781471,False,False
bonds,BYM000002469,138,2119,0.06512505899008966,0.0,2025-10-28,2026-05-15,0.0015736395942501967,0.0997922011739383,1.15412117836472,False,False
bonds,RU000A0JQAM6,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00043751611559028966,0.015865278280170206,0.185711154448804,False,False
bonds,RU000A0JR4U9,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,-0.00029983759876520626,0.043742972398214265,0.327443485900618,False,False
bonds,RU000A0JRJB8,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.0003582504777665452,0.055035597199706604,0.490186756779784,False,False
bonds,RU000A0JRJL7,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.0004332869965211538,0.04504420977719771,0.435115393432695,False,False
bonds,RU000A0JRU20,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00010023087839001656,0.02456290934926142,0.22920057484158,False,False
bonds,RU000A0JRU46,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00012653859167316761,0.03237778183775716,0.580004192826409,False,False
bonds,RU000A0JS4J1,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00039350539765337187,0.01571342256553319,0.191535511355568,False,False
bonds,RU000A0JS4K9,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00031363030805152766,0.030218082070393757,0.239674122401615,False,False
bonds,RU000A0JS4L7,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.0005417233633972742,0.026507526757071756,0.3851708102626,False,False
bonds,RU000A0JS4Z7,1667,2119,0.7866918357715904,0.0011997600479904018,2019-10-15,2026-05-15,0.00045905590021646256,0.011788079629849834,0.15953905933667,False,False
bonds,RU000A0JS9X1,715,2119,0.3374233128834356,0.0,2020-05-26,2023-03-24,0.00036774790283382645,0.0009626508614580523,0.0251249719040859,False,False
bonds,RU000A0JSGV0,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00035278448527636226,0.0046556886477343,0.0514894329491762,False,False
bonds,RU000A0JSQ58,1638,2119,0.7730061349693251,0.0006105006105006105,2019-11-26,2026-05-15,0.0003969413709630131,0.00774619278002067,0.0683080113354193,False,False
bonds,RU000A0JT403,1667,2119,0.7866918357715904,0.0,2019-10-15,2026-05-15,0.000406753855717314,0.012616030362019538,0.108751545083744,False,False
bonds,RU000A0JT6B2,1667,2119,0.7866918357715904,0.0005998800239952009,2019-10-15,2026-05-15,0.00037527041248098245,0.010489011889539428,0.15719026949215,False,False
bonds,RU000A0JTB96,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,0.00011245489215730896,0.03952473343774913,0.486611745628257,False,False
bonds,RU000A0JTFB2,1516,2119,0.7154318074563474,0.0,2020-05-26,2026-05-15,-0.0003376269130175333,0.04172853524588677,0.418998586792369,False,False
bonds,RU000A0JTU85,1667,2119,0.7866918357715904,0.001799640071985603,2019-10-15,2026-05-15,0.00042215020690427956,0.004864125908395718,0.0842154527497506,False,False
bonds,RU000A0JTW83,1453,2119,0.6857008022652195,0.009635237439779766,2020-05-26,2026-05-15,-1.7346036391949485e-05,0.013512245502253571,0.445598312567105,False,False
