market,secid,window,window_end,tail_group,alpha_consensus,alpha_ci_low,alpha_ci_high,p_alpha_lt_1,p_alpha_gt_2,selected_k,n_tail_positive,theta_runs,zero_share_window,max_loss_window,alpha_hill,alpha_mom,alpha_gpd,alpha_pickands,alpha_rank_half
bonds,SU46023RMFS6,504,2026-05-15,point_alpha_1_2_uncertain,1.1269069731400458,0.7748140876464904,6.30721665918946,0.34523809523809523,0.20238095238095238,25,199,0.68,0.003968253968253968,0.652002442785799,1.495309386677153,1.1050773681547057,1.1269069731400458,7.779111125982187,0.9192606597117292
bonds,SU29007RMFS0,504,2026-05-15,point_alpha_gt_2_uncertain,2.621958050594236,1.9508316676013706,8.869762393424654,0.0,0.9166666666666666,10,131,0.5,0.001984126984126984,0.0111373745823403,2.621958050594236,2.7300190725932647,1.3823146897187237,0.9246356033080979,2.23194042478363
bonds,SU29010RMFS4,504,2026-05-15,point_alpha_gt_2_uncertain,2.9725806624471103,1.9413744344653199,14.584708242927439,0.0,0.8974358974358975,14,136,0.7857142857142857,0.001984126984126984,0.0175095869891867,2.241560355483754,2.9725806624471103,3.216113590641605,1.0819989383880866,2.1955072934911253
bonds,SU46012RMFS9,504,2026-05-15,point_alpha_gt_2_uncertain,2.6806181423569457,1.6783823327255791,8.429395361585545,0.0,0.7435897435897436,19,235,0.3684210526315789,0.0,0.244721245906493,2.2691536290808845,2.6806181423569457,2.868354766407618,16.607740329166976,2.2014414077795808
bonds,SU26207RMFS9,504,2026-05-15,strict_alpha_gt_2,6.4184234685504595,2.342700997098997,26.15420101289107,0.0,1.0,28,196,0.6071428571428571,0.001984126984126984,0.00961499058168429,2.3405633833168946,6.4184234685504595,36.914410373154524,,2.6546276977010295
bonds,SU26212RMFS9,504,2026-05-15,strict_alpha_gt_2,4.464485901950215,3.0180779835033915,17.251530104496005,0.0,1.0,21,213,0.7619047619047619,0.001984126984126984,0.0135053902995936,3.7563174137278335,4.734541451081582,4.464485901950215,6.190673513961623,3.5659040251016187
bonds,SU26218RMFS6,504,2026-05-15,strict_alpha_gt_2,5.636908188650689,2.7486749902995253,24.024366261054475,0.0,1.0,16,236,0.875,0.0,0.0202910850969223,3.73187549755152,7.541940879749857,inf,,3.612505389032255
bonds,SU26219RMFS4,504,2026-05-15,strict_alpha_gt_2,2.899673121893653,3.353141639562782,51.6957985850517,0.0,1.0,16,168,0.6875,0.001984126984126984,0.00880988841589952,2.899673121893653,,inf,,4.005170175229309
bonds,SU26221RMFS0,504,2026-05-15,strict_alpha_gt_2,7.032385535294667,2.8084986500902325,32.623934911753054,0.0,1.0,14,233,0.8571428571428571,0.0,0.0215017217475271,4.233412031979584,9.83135903860975,inf,2.9829939630878033,4.046939222916125
bonds,SU26224RMFS4,504,2026-05-15,strict_alpha_gt_2,19.844304161916664,3.0677861622112808,52.03206338608868,0.0,1.0,21,216,0.7142857142857143,0.003968253968253968,0.020181034207617,3.2313946036320567,36.457213720201274,inf,,3.710861512847401
bonds,SU26225RMFS1,504,2026-05-15,strict_alpha_gt_2,4.657094229257786,2.688426000925298,26.049571829855093,0.0,1.0,35,244,0.6,0.001984126984126984,0.0279712436608938,2.656450518253776,4.657094229257786,7.600707784227147,,2.843408228798736
bonds,SU29008RMFS8,504,2026-05-15,strict_alpha_gt_2,31.49761231418728,2.8830213787280017,36.07298975326152,0.0,1.0,13,147,0.6923076923076923,0.001984126984126984,0.00789843523857223,2.7679449073408238,60.22727972103373,inf,4.584163562210192,3.1314992368735908
bonds,SU29009RMFS6,504,2026-05-15,strict_alpha_gt_2,2.7653284148059827,2.716239393886633,22.028842105875224,0.0,1.0,15,159,0.8666666666666667,0.0,0.00724905486045755,2.7653284148059827,,inf,7.340700181907004,4.402575300737907
bonds,SU46020RMFS2,504,2026-05-15,strict_alpha_gt_2,33.838528287311604,5.177125161411556,51.63216959262414,0.0,1.0,33,229,0.696969696969697,0.0,0.0319879572152419,3.4137855679137648,64.26327100670945,inf,,3.827821401599013
bonds,SU52002RMFS1,504,2026-05-15,strict_alpha_gt_2,11.161626091067955,2.1369407214231075,16.557262292407234,0.0,0.9848484848484849,18,209,0.6111111111111112,0.0,0.028818034589744,2.0783903569985656,11.161626091067955,11.822538527437388,1.5600162767483072,2.4806358434052447
