market,period,window,horizon,tail_prob,spec_name,dependent,spec,n_obs,r2,adj_r2,aic,bic,param,coef,std_err_hac,t_hac,pvalue_hac
bonds,baseline_2018,252,21,0.025,dq_only,future_es,dq_es,88,0.0006156089619268057,-0.01100513977107398,-497.14030073477454,-492.1856271058181,const,0.008302459806887534,0.0031479788639485694,2.637393758252113,0.008354579120721007
bonds,baseline_2018,252,21,0.025,dq_only,future_es,dq_es,88,0.0006156089619268057,-0.01100513977107398,-497.14030073477454,-492.1856271058181,dq_es,0.002217575892133659,0.01146103069630834,0.19348834767958104,0.8465765308369853
bonds,baseline_2018,252,21,0.025,dr_only,future_es,dr_es_concentration,88,0.00044359948794547854,-0.011179149355218021,-497.1251558802478,-492.1704822512914,const,0.006576291998521313,0.01251949221258436,0.5252842437100561,0.5993856089696032
bonds,baseline_2018,252,21,0.025,dr_only,future_es,dr_es_concentration,88,0.00044359948794547854,-0.011179149355218021,-497.1251558802478,-492.1704822512914,dr_es_concentration,0.004082805220528746,0.02220436710527866,0.183873974032709,0.8541123223869631
bonds,baseline_2018,252,21,0.025,dq_dr,future_es,dq_es+dr_es_concentration,88,0.0006183226227834959,-0.022896540374327312,-495.1405396843535,-487.7085292409189,const,0.008617129287220356,0.014641560143675103,0.5885390083202852,0.5561705588221011
bonds,baseline_2018,252,21,0.025,dq_dr,future_es,dq_es+dr_es_concentration,88,0.0006183226227834959,-0.022896540374327312,-495.1405396843535,-487.7085292409189,dq_es,0.002490859848182073,0.017963732564244116,0.1386604837983394,0.8897184457305182
bonds,baseline_2018,252,21,0.025,dq_dr,future_es,dq_es+dr_es_concentration,88,0.0006183226227834959,-0.022896540374327312,-495.1405396843535,-487.7085292409189,dr_es_concentration,-0.0006732695748367726,0.031167952748862037,-0.021601340975510627,0.9827659638384759
bonds,baseline_2018,252,21,0.025,dq_dr_current_es,future_es,dq_es+dr_es_concentration+current_es,88,0.003776534052567948,-0.031802875445554823,-493.4190745826792,-483.50972732476635,const,0.010528606277128497,0.013997505921568159,0.7521773047372259,0.45194443998253775
bonds,baseline_2018,252,21,0.025,dq_dr_current_es,future_es,dq_es+dr_es_concentration+current_es,88,0.003776534052567948,-0.031802875445554823,-493.4190745826792,-483.50972732476635,dq_es,0.002293837565407183,0.017672159923630987,0.12979950245583124,0.8967250565678984
bonds,baseline_2018,252,21,0.025,dq_dr_current_es,future_es,dq_es+dr_es_concentration+current_es,88,0.003776534052567948,-0.031802875445554823,-493.4190745826792,-483.50972732476635,dr_es_concentration,-0.007273994059837228,0.029719924114737218,-0.2447514344839889,0.8066488999627345
bonds,baseline_2018,252,21,0.025,dq_dr_current_es,future_es,dq_es+dr_es_concentration+current_es,88,0.003776534052567948,-0.031802875445554823,-493.4190745826792,-483.50972732476635,current_es,0.12760060301032755,0.13929525179653754,0.916044167799116,0.3596437295839542
bonds,baseline_2018,252,21,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,88,0.02078424483582375,-0.02640687589497981,-492.934398886237,-480.5477148138459,const,0.008892901990163998,0.0203236933674878,0.4375632828819462,0.6617028925373218
bonds,baseline_2018,252,21,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,88,0.02078424483582375,-0.02640687589497981,-492.934398886237,-480.5477148138459,current_es,1.3981142171455132,0.9300321921537973,1.5032965836459027,0.1327625807191427
bonds,baseline_2018,252,21,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,88,0.02078424483582375,-0.02640687589497981,-492.934398886237,-480.5477148138459,current_rv_ann,-0.3022637189632715,0.2085864601302146,-1.4491051757366074,0.1473082128469228
bonds,baseline_2018,252,21,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,88,0.02078424483582375,-0.02640687589497981,-492.934398886237,-480.5477148138459,current_hill_alpha,0.0016381608364635669,0.0029584726131763176,0.5537184387536991,0.5797715542227146
bonds,baseline_2018,252,21,0.025,risk_controls,future_es,current_es+current_rv_ann+current_hill_alpha+n_assets,88,0.02078424483582375,-0.02640687589497981,-492.934398886237,-480.5477148138459,n_assets,-0.00015766811760812086,0.001287316620767262,-0.12247811848661447,0.9025203744314338
