market,period,window,horizon,tail_prob,dependent,spec_name,param,coef,t_hac,pvalue_hac,r2,n_obs
bonds,baseline_2018,252,21,0.025,future_es,dq_only,dq_es,0.002217575892133659,0.19348834767958104,0.8465765308369853,0.0006156089619268057,88
bonds,baseline_2018,252,21,0.025,future_es,dr_only,dr_es_concentration,0.004082805220528746,0.183873974032709,0.8541123223869631,0.00044359948794547854,88
bonds,baseline_2018,252,21,0.025,future_es,dq_dr,dq_es,0.002490859848182073,0.1386604837983394,0.8897184457305182,0.0006183226227834959,88
bonds,baseline_2018,252,21,0.025,future_es,dq_dr,dr_es_concentration,-0.0006732695748367726,-0.021601340975510627,0.9827659638384759,0.0006183226227834959,88
bonds,baseline_2018,252,21,0.025,future_es,dq_dr_current_es,dq_es,0.002293837565407183,0.12979950245583124,0.8967250565678984,0.003776534052567948,88
bonds,baseline_2018,252,21,0.025,future_es,dq_dr_current_es,dr_es_concentration,-0.007273994059837228,-0.2447514344839889,0.8066488999627345,0.003776534052567948,88
bonds,baseline_2018,252,21,0.025,future_es,full,dq_es,0.033789771863811435,1.0311143059957695,0.3024872198432833,0.07000181758797619,88
bonds,baseline_2018,252,21,0.025,future_es,full,dr_es_concentration,-0.07729283333406284,-1.4521832895979416,0.14645064779011793,0.07000181758797619,88
bonds,baseline_2018,252,21,0.025,future_var,dq_only,dq_es,-0.0015302129932999405,-0.2145616757015344,0.8301090763529052,0.0007416008398910545,88
bonds,baseline_2018,252,21,0.025,future_var,dr_only,dr_es_concentration,-0.0014834161598718423,-0.10641653446977122,0.9152518749573207,0.0001481556495577241,88
bonds,baseline_2018,252,21,0.025,future_var,dq_dr,dq_es,-0.004125573290324992,-0.3345865001575475,0.7379370298525383,0.0013608153202094853,88
bonds,baseline_2018,252,21,0.025,future_var,dq_dr,dr_es_concentration,0.006393998202428893,0.27970553201012094,0.7797034337465576,0.0013608153202094853,88
bonds,baseline_2018,252,21,0.025,future_var,dq_dr_current_es,dq_es,-0.004300649903542657,-0.35895739533235227,0.7196269616479156,0.007670174812969388,88
bonds,baseline_2018,252,21,0.025,future_var,dq_dr_current_es,dr_es_concentration,0.0005285068917983259,0.0239544704307036,0.9808889256074022,0.007670174812969388,88
bonds,baseline_2018,252,21,0.025,future_var,full,dq_es,0.019251421278975254,0.9062236073952388,0.3648175101535023,0.08170968776955567,88
bonds,baseline_2018,252,21,0.025,future_var,full,dr_es_concentration,-0.05272557342985152,-1.4723651007518355,0.14092231207887784,0.08170968776955567,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,dq_only,dq_es,-0.006943691625013078,-0.12299796963477108,0.9021087057561612,0.00037136974052209837,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,dr_only,dr_es_concentration,0.002439040503438619,0.02148804667206673,0.98285633863673,9.740683933667782e-06,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,dq_dr,dq_es,-0.03526732790582297,-0.37730171281997127,0.7059493994457342,0.002164876547559147,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,dq_dr,dr_es_concentration,0.06977885870926537,0.38259296080704563,0.7020215903349645,0.002164876547559147,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,dq_dr_current_es,dq_es,-0.037537045539044675,-0.4284037464963946,0.668357197509672,0.02795372109925698,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,dq_dr_current_es,dr_es_concentration,-0.006262188753173442,-0.037673844660664695,0.9699477301247306,0.02795372109925698,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,full,dq_es,0.04120060171001996,0.334087429191864,0.7383135856876227,0.15188826937214672,88
bonds,baseline_2018,252,21,0.025,future_rv_ann,full,dr_es_concentration,-0.33049266594127646,-1.595824193254674,0.11052805020310609,0.15188826937214672,88
bonds,baseline_2018,252,21,0.025,future_mdd,dq_only,dq_es,0.00029539425781748295,0.01855820348628233,0.9851935458744708,4.943402297175048e-06,88
bonds,baseline_2018,252,21,0.025,future_mdd,dr_only,dr_es_concentration,0.018874064699640265,0.6788643154752659,0.497223837823613,0.004290209491736197,88
bonds,baseline_2018,252,21,0.025,future_mdd,dq_dr,dq_es,-0.032742355491169356,-0.9624485589411509,0.3358243313959631,0.017953193972420456,88
bonds,baseline_2018,252,21,0.025,future_mdd,dq_dr,dr_es_concentration,0.08139267320589627,1.315249678355918,0.1884260041644339,0.017953193972420456,88
bonds,baseline_2018,252,21,0.025,future_mdd,dq_dr_current_es,dq_es,-0.03281171137807364,-0.9680388129103258,0.33302498603355213,0.018130307231339127,88
bonds,baseline_2018,252,21,0.025,future_mdd,dq_dr_current_es,dr_es_concentration,0.0790690827245534,1.2578151428441622,0.20845861794893183,0.018130307231339127,88
