market,period,tradedate,window,horizon,tail_prob,n_assets,window_rows,future_rows,dq_es,dr_es_concentration,current_es,current_var,current_rv_ann,current_hill_alpha,future_es,future_var,future_rv_ann,future_mdd,future_cum_log_return,future_tail_event,assets
shares,full_2015,2016-11-07,252,21,0.025,80,252,21,0.15873015873015872,0.3006118431437664,0.01666038816992102,0.009785382110801528,0.10012348288458792,2.5910982513770033,0.0048553431508755185,0.003862256400284755,0.07461610102636074,0.004843575026117541,0.0821273772668963,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2016-12-06,252,21,0.025,80,252,21,0.15873015873015872,0.2755355248223965,0.01490881722522364,0.009689518403539042,0.09629268484591152,2.8916679242207928,0.014716796697943903,0.01291740727018901,0.12214295219129431,0.03726511073624339,0.038153754486246104,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-01-05,252,21,0.025,80,252,21,0.15873015873015872,0.2930500474641011,0.015806099254016045,0.010136019890669262,0.09726427592749166,2.7679293704708914,0.005639600905838536,0.0049930256244036225,0.08214371672782408,0.00966147522063976,0.03355015679838242,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-02-03,252,21,0.025,80,252,21,0.15873015873015872,0.20895632789656274,0.01091993751264595,0.009070377295711838,0.08680757173616127,5.870424652873489,0.022964766625182136,0.018319242359082846,0.13960437101599957,0.07578546730062163,-0.048239224535451826,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-03-07,252,21,0.025,80,252,21,0.15873015873015872,0.2605070454287363,0.013909412736143486,0.010228711609996962,0.09329887144182628,3.2147750197139087,0.048287371294287625,0.03307211133291998,0.21381030317668903,0.04714007686031518,-0.01796703411633505,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-04-06,252,21,0.025,80,252,21,0.15873015873015872,0.37832050311122617,0.02097787993054635,0.01259691915272608,0.10859378823094355,2.176848329828891,0.02517751528493189,0.021015666138432233,0.16280194924969668,0.062351151285861994,-0.03409486332950589,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-05-10,252,21,0.025,80,252,21,0.15873015873015872,0.4229942467310017,0.023345585421289776,0.015557320849885606,0.11431686808309911,2.6260871772831784,0.01146229316936469,0.010221312659840227,0.0861623748106875,0.04099917943229037,-0.035389841368995006,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-06-08,252,21,0.025,80,252,21,0.15873015873015872,0.41578603094499694,0.02334558542128978,0.015557320849885606,0.11566730039037648,2.6260871772831775,0.016317623069837615,0.01466275898947841,0.1016197188897101,0.029334320236550027,0.026589631894195442,1,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-07-10,252,21,0.025,80,252,21,0.15873015873015872,0.42168846990474246,0.023408654380438793,0.016196215323475767,0.11699017216930446,2.7967294573940027,0.01078552512826978,0.008386591566612927,0.09404284249835788,0.012039289919279939,0.045627193944366096,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
shares,full_2015,2017-08-08,252,21,0.025,80,252,21,0.15873015873015872,0.421229726215729,0.023408654380438793,0.016196215323475767,0.11630182849786884,2.7967294573940027,0.00600911555436237,0.004353444541867064,0.07775586424922458,0.005991096929555351,0.05676248093177123,0,"AFKS,AKRN,ALRS,APTK,BANE,BANEP,BSPB,CHMF,CHMK,DIOD,DVEC,FEES,FESH,GAZP,GCHE,HYDR,IRKT,KMAZ,KMEZ,KROT,KZOS,KZOSP,LKOH,LNZL,LNZLP,LSNG,LSNGP,LSRG,MAGN,MGNT,MGTSP,MOEX,MRKC,MRKK,MRKP,MRKS,MRKU,MRKV,MRKY,MRKZ,MSNG,MTLR,MTSS,MVID,NKNC,NKNCP,NLMK,NMTP,NVTK,OGKB,PHOR,PIKK,PMSBP,RASP,ROSN,ROST,RTKM,RTKMP,SARE,SBER,SBERP,SELG,SIBN,SNGS,SNGSP,STSB,STSBP,SVAV,TATN,TATNP,TGKA,TGKB,TGKBP,TRMK,TTLK,UNAC,USBN,UTAR,VSMO,YKEN"
