market,period,window,horizon,tail_prob,variable,aux_r2,vif
bonds,full_2015,252,21,0.025,current_hill_alpha,0.5867060551276597,2.4195854122878178
bonds,full_2015,252,21,0.025,n_assets,-inf,0.0
bonds,full_2015,252,21,0.05,dq_es,0.8579269590112136,7.038633037206043
bonds,full_2015,252,21,0.05,dr_es_concentration,0.8621470364709195,7.254105928517431
bonds,full_2015,252,21,0.05,current_es,0.971919121439084,35.611421410149056
bonds,full_2015,252,21,0.05,current_rv_ann,0.9628758223030057,26.936623570815524
bonds,full_2015,252,21,0.05,current_hill_alpha,0.5710503330075746,2.3312758511073945
bonds,full_2015,252,21,0.05,n_assets,-inf,0.0
bonds,full_2015,252,63,0.025,dq_es,0.5970308488499874,2.4815795381511268
bonds,full_2015,252,63,0.025,dr_es_concentration,0.7850003290963322,4.651169910153293
bonds,full_2015,252,63,0.025,current_es,0.9750246885899667,40.03954079220297
bonds,full_2015,252,63,0.025,current_rv_ann,0.9739634037170595,38.40747804102226
bonds,full_2015,252,63,0.025,current_hill_alpha,0.5870208373510613,2.421429675981183
bonds,full_2015,252,63,0.025,n_assets,-inf,0.0
bonds,full_2015,252,63,0.05,dq_es,0.8484982642703897,6.600584443367235
bonds,full_2015,252,63,0.05,dr_es_concentration,0.8545919874432221,6.8772001103414215
bonds,full_2015,252,63,0.05,current_es,0.9711589145561231,34.67275883031323
bonds,full_2015,252,63,0.05,current_rv_ann,0.9615659281641061,26.01858070801888
bonds,full_2015,252,63,0.05,current_hill_alpha,0.5702828084652884,2.327111923143113
bonds,full_2015,252,63,0.05,n_assets,-inf,0.0
bonds,full_2015,504,21,0.025,dq_es,0.8287218454577623,5.838456180664867
bonds,full_2015,504,21,0.025,dr_es_concentration,0.8954161986894371,9.561710202428841
bonds,full_2015,504,21,0.025,current_es,0.9835452080964454,60.772570437914716
bonds,full_2015,504,21,0.025,current_rv_ann,0.983569553321932,60.86261801602977
bonds,full_2015,504,21,0.025,current_hill_alpha,0.7199386972928985,3.57064682029933
bonds,full_2015,504,21,0.025,n_assets,-inf,0.0
bonds,full_2015,504,21,0.05,dq_es,0.9125620615334284,11.436683178232874
bonds,full_2015,504,21,0.05,dr_es_concentration,0.9210594688208553,12.667763759159886
bonds,full_2015,504,21,0.05,current_es,0.982776933542105,58.061669938085025
bonds,full_2015,504,21,0.05,current_rv_ann,0.973187261574916,37.29570565103017
bonds,full_2015,504,21,0.05,current_hill_alpha,0.7077708871725338,3.4219725417652205
bonds,full_2015,504,21,0.05,n_assets,-inf,0.0
bonds,full_2015,504,63,0.025,dq_es,0.8183428891209641,5.504876716144035
bonds,full_2015,504,63,0.025,dr_es_concentration,0.8892317810274304,9.027860240739608
bonds,full_2015,504,63,0.025,current_es,0.9839793189619916,62.41931898073149
bonds,full_2015,504,63,0.025,current_rv_ann,0.984223405196081,63.38503412356086
bonds,full_2015,504,63,0.025,current_hill_alpha,0.7188329065165201,3.5566039667396407
bonds,full_2015,504,63,0.025,n_assets,-inf,0.0
bonds,full_2015,504,63,0.05,dq_es,0.9101749755657912,11.132755112495818
