market,secid,n_obs,expected_market_days,coverage,zero_share,first_date,last_date,mean_return,std_return,max_abs_return,core_liquid,broad
shares,AFKS,2873,2873,1.0,0.011834319526627219,2015-01-05,2026-05-15,0.00011046425872733326,0.02597933286045208,0.487901504368368,True,True
shares,AKRN,2873,2873,1.0,0.035851026801253044,2015-01-05,2026-05-15,0.001040461661363185,0.01815369649171636,0.336350441358898,True,True
shares,ALRS,2873,2873,1.0,0.01148625130525583,2015-01-05,2026-05-15,-5.729888751506209e-05,0.021035170391427695,0.383961034172227,True,True
shares,AMEZ,2873,2873,1.0,0.14723285764009747,2015-01-05,2026-05-15,0.0010912672541665601,0.029088220191164894,0.335751044820555,True,True
shares,APTK,2873,2873,1.0,0.03480682213713888,2015-01-05,2026-05-15,-0.00020158284176748082,0.0238860007213925,0.442138609446128,True,True
shares,AQUA,2766,2873,0.9627567003132614,0.1052060737527115,2015-06-11,2026-05-15,0.0008161913085470186,0.03174050524121922,0.3590530663437,True,True
shares,ARSA,2873,2873,1.0,0.12356421858684302,2015-01-05,2026-05-15,0.0009303012850753346,0.030588172578020774,0.314549101417708,True,True
shares,ASSB,2873,2873,1.0,0.1301775147928994,2015-01-05,2026-05-15,0.0010479113765876516,0.0378723761958243,0.358347185131095,True,True
shares,BANE,2873,2873,1.0,0.025060911938739994,2015-01-05,2026-05-15,0.00031517350101304347,0.02086310622371209,0.240839609077498,True,True
shares,BANEP,2873,2873,1.0,0.026453184824225547,2015-01-05,2026-05-15,0.0004159702466443755,0.021895235785268096,0.614633914938307,True,True
shares,BISVP,2873,2873,1.0,0.17298990602158024,2015-01-05,2026-05-15,0.0005958320405627754,0.022025812141133264,0.29098786058628,True,True
shares,BLNG,2778,2873,0.966933518969718,0.05003599712023038,2015-01-05,2026-05-15,0.0004106552782754472,0.03559253073633558,0.681064362653823,True,True
shares,BRZL,2873,2873,1.0,0.11521058127392969,2015-01-05,2026-05-15,0.00037710946326462245,0.027136569108403917,0.335664808236612,True,True
shares,BSPB,2873,2873,1.0,0.029585798816568046,2015-01-05,2026-05-15,0.0011558000579507332,0.02100774210656587,0.336472236621213,True,True
shares,CBOM,2752,2873,0.9578837452140619,0.02507267441860465,2015-07-02,2026-05-15,0.00019304316415432875,0.01740152361637406,0.456239360117229,True,True
shares,CHMF,2873,2873,1.0,0.010093978419770276,2015-01-05,2026-05-15,0.00048162284494363477,0.019509550941084922,0.302060555791906,True,True
shares,CHMK,2873,2873,1.0,0.050469892098851374,2015-01-05,2026-05-15,0.0005490206719621449,0.032741325328145915,0.481623521825059,True,True
shares,CNTL,2873,2873,1.0,0.1211277410372433,2015-01-05,2026-05-15,0.00024079873017546436,0.03084177218695421,0.335759478216127,True,True
shares,CNTLP,2873,2873,1.0,0.11416637660981552,2015-01-05,2026-05-15,0.0004545574605979228,0.0307131020804848,0.335260849434916,True,True
shares,DIOD,2873,2873,1.0,0.09989557953358859,2015-01-05,2026-05-15,0.0005505134059130844,0.027675429416434128,0.335070694695925,True,True
shares,DVEC,2873,2873,1.0,0.04838148277062304,2015-01-05,2026-05-15,0.0002220666400045832,0.033803017618072764,0.33601080463579,True,True
shares,DZRDP,2873,2873,1.0,0.17229376957883746,2015-01-05,2026-05-15,0.0005056285029675687,0.030688242080722596,0.412385550952738,True,True
shares,FEES,2873,2873,1.0,0.015663069961712496,2015-01-05,2026-05-15,0.0002725158300769861,0.022577054170407177,0.385602479011913,True,True
shares,FESH,2873,2873,1.0,0.03619909502262444,2015-01-05,2026-05-15,0.0010906650680320474,0.030940425866062972,0.441651214654868,True,True
shares,GAZP,2873,2873,1.0,0.011834319526627219,2015-01-05,2026-05-15,0.0002994895570365573,0.02199008597422188,0.404406906951217,True,True
shares,GCHE,2873,2873,1.0,0.04629307344239471,2015-01-05,2026-05-15,0.0007362392604371227,0.018956812358475923,0.203939083035389,True,True
shares,GMKN,2873,2873,1.0,0.013922728854855551,2015-01-05,2026-05-15,-0.001160750883086059,0.08760339279105464,4.58896109420204,True,True
shares,HIMCP,2873,2873,1.0,0.12286808214410025,2015-01-05,2026-05-15,0.0010958291815367927,0.03437765038673357,0.38482771267252,True,True
shares,HYDR,2873,2873,1.0,0.01427079707622694,2015-01-05,2026-05-15,0.00010645960201804382,0.018655952881487404,0.143744758666141,True,True
shares,IGST,2873,2873,1.0,0.17194570135746606,2015-01-05,2026-05-15,0.0009670835356296594,0.044861449045955716,0.335890164427829,True,True
shares,IRAO,2863,2873,0.9965193177862861,0.014320642682500873,2015-01-20,2026-05-15,0.002316273615064667,0.0907881807954561,4.67579094522964,True,True
shares,IRKT,2873,2873,1.0,0.03828750435085277,2015-01-05,2026-05-15,0.000494144420702253,0.03428213704270607,0.425380417809106,True,True
shares,JNOSP,2873,2873,1.0,0.1956143404107205,2015-01-05,2026-05-15,-0.00034155476768329046,0.02929335285245817,0.478264607716679,True,True
shares,KAZT,2873,2873,1.0,0.15628263139575357,2015-01-05,2026-05-15,0.000658640053014233,0.025590375728416728,0.367535296467716,True,True
shares,KCHE,2873,2873,1.0,0.18656456665506438,2015-01-05,2026-05-15,0.0006600162648481261,0.0434370655387736,0.398160473729277,True,True
shares,KLSB,2873,2873,1.0,0.1642882004872955,2015-01-05,2026-05-15,0.0006196930294945751,0.04773059789275633,0.446144743741426,True,True
shares,KMAZ,2873,2873,1.0,0.05673512008353637,2015-01-05,2026-05-15,0.0003629540047906511,0.023342507592153235,0.33512784923522,True,True
shares,KMEZ,2873,2873,1.0,0.07692307692307693,2015-01-05,2026-05-15,0.0003307317380960086,0.030554452568207924,0.335792195792557,True,True
shares,KRKNP,2873,2873,1.0,0.13400626522798467,2015-01-05,2026-05-15,5.424049782729341e-05,0.019577698610037546,0.341643176037445,True,True
shares,KRKOP,2873,2873,1.0,0.154890358510268,2015-01-05,2026-05-15,0.0006595596631839766,0.04184720985665365,0.357609086930529,True,True
shares,KROT,2873,2873,1.0,0.09571876087713192,2015-01-05,2026-05-15,0.000814722692043454,0.040676783402282146,0.473902269661393,True,True
shares,KROTP,2873,2873,1.0,0.12356421858684302,2015-01-05,2026-05-15,0.0006331888047124207,0.040018076646905494,0.468163702323728,True,True
shares,KRSB,2873,2873,1.0,0.15419422206752523,2015-01-05,2026-05-15,0.0011706887558856675,0.027747479402859963,0.481838086892738,True,True
shares,KRSBP,2873,2873,1.0,0.1521058127392969,2015-01-05,2026-05-15,0.0011782738064698695,0.02861526051372499,0.394079785883039,True,True
shares,KUZB,2873,2873,1.0,0.12321615036547164,2015-01-05,2026-05-15,0.0003143836878066829,0.03977102444067905,0.508810607971582,True,True
shares,KZOS,2873,2873,1.0,0.08144796380090498,2015-01-05,2026-05-15,0.0006713154867755824,0.020527748205727635,0.28179624027452,True,True
shares,KZOSP,2873,2873,1.0,0.0685694396101636,2015-01-05,2026-05-15,0.0006004984714726936,0.035733835698925576,0.36254006339113,True,True
shares,LKOH,2873,2873,1.0,0.00904977375565611,2015-01-05,2026-05-15,0.0006469023651145837,0.020097575884788773,0.407379940312936,True,True
shares,LNZL,2873,2873,1.0,0.07379046293073442,2015-01-05,2026-05-15,-2.2244137238650978e-05,0.03640982543976195,0.511948588510614,True,True
shares,LNZLP,2873,2873,1.0,0.09189001044204664,2015-01-05,2026-05-15,-0.0004026268014856371,0.03350748118921086,0.387183063270715,True,True
shares,LSNG,2873,2873,1.0,0.06439262095370693,2015-01-05,2026-05-15,0.0008698214502407301,0.030540052521640496,0.47038465420748,True,True
shares,LSNGP,2873,2873,1.0,0.06021580229725026,2015-01-05,2026-05-15,0.0014728053547407012,0.022140016215476652,0.397920378207487,True,True
shares,LSRG,2873,2873,1.0,0.026801253045596937,2015-01-05,2026-05-15,0.00041708868644640875,0.02018717427731897,0.344442375503098,True,True
shares,LVHK,2873,2873,1.0,0.16672467803689522,2015-01-05,2026-05-15,0.0004424866541134557,0.03786587592199404,0.355985050844795,True,True
shares,MAGE,2873,2873,1.0,0.15802297250261052,2015-01-05,2026-05-15,1.9821911545736037e-05,0.03158949240146757,0.303248542940306,True,True
shares,MAGEP,2873,2873,1.0,0.17577445179255133,2015-01-05,2026-05-15,4.537480607839826e-05,0.03132564908601033,0.375880957002881,True,True
shares,MAGN,2873,2873,1.0,0.011834319526627219,2015-01-05,2026-05-15,0.0005308729508673196,0.020804348157465027,0.264027502912808,True,True
shares,MFGS,2873,2873,1.0,0.1771667246780369,2015-01-05,2026-05-15,-0.00022940058019738568,0.026234677519169584,0.33487031397188,True,True
shares,MFGSP,2873,2873,1.0,0.12600069613644274,2015-01-05,2026-05-15,-0.0003660823154367311,0.026931809233719673,0.473386455249356,True,True
shares,MGNT,2873,2873,1.0,0.012182387747998607,2015-01-05,2026-05-15,-0.0002559119699317818,0.021220011830533625,0.446857979755829,True,True
shares,MGTS,2873,2873,1.0,0.17855899756352245,2015-01-05,2026-05-15,0.0004807024201131387,0.02825580295865628,0.335992735293397,True,True
shares,MGTSP,2873,2873,1.0,0.09537069265576052,2015-01-05,2026-05-15,0.00031660385080502923,0.02798643498929222,0.475687769600725,True,True
shares,MOEX,2873,2873,1.0,0.015315001740341106,2015-01-05,2026-05-15,0.0006249750495317869,0.017575369359253596,0.200565082112526,True,True
