Окно, дней,N бумаг,Медиана alpha_tail,p10,p25,p75,Точечно 1-2,Точечно >2,Строго >2,Средн. P(alpha>2)
504,142,4.80,2.67,3.23,8.39,3,139,125,0.97
756,142,3.71,2.54,3.11,5.43,5,137,120,0.95
1008,142,3.54,2.29,2.81,4.67,8,134,109,0.93
